"ကပရ",96.207591,16.869967,"2,24,25"
"ကမာရွတ်",96.120111,16.840588,"11,22"
"ကမ္ဘာအေးဘုရားလမ်း",96.156653,16.856873,"6,10,28,30,36"
"ကမ်းနားဈေး",96.121868,16.812526,"14,19,20,23,30,40,41"
"ကရင်ဆိပ်သမ",96.366034,16.763783,"34"
"ကရင်ဆိပ်အနောက်ဖျား",96.362257,16.764111,"34"
"ကလိုင်ထော်",96.155341,17.057769,"44"
"ကလီ",96.140525,16.777481,"58"
"ကလီထော်",96.226666,17.143579,"45"
"ကားကြီးဂိတ်",96.208838,16.847427,"1,3,6,7,16,17,19,24,25,34,40,42,60"
"ကားကြီးတဲ",96.400734,16.754824,"34"
"ကားလေးဂိတ်",96.238001,16.851626,"2,7,27,40,42"
"ကိုတင်မောင်ခြံဝ",96.305888,16.696011,"33"
"ကိုးသုံးလုံး",96.074427,16.98212,"40,42"
"ကီလီ",96.139414,16.775124,"56,57,58"
"ကုက္ကိုင်း",96.152954,16.823467,"14,38"
"ကုက္ကိုင်း/ကျောင်းရှေ့",96.155217,16.820614,"28,36"
"ကုန်ဈေးတန်း",96.155131,16.777137,"58"
"ကုန်တိုက်",96.234933,16.848073,"2,7"
"ကုန်ပဒေသာ",96.200534,16.884656,"2,3,6,12,25,26,29,30"
"ကုန်းကွေ့",95.961106,17.211272,"55"
"ကုန်းတလပေါင်",96.144658,17.000732,"36"
"ကုန်းထိပ်",96.128899,17.004467,"35,37,41,44"
"ကုလားကုန်း",95.995266,17.164369,"55"
"ကုလားကျောင်း",96.120693,16.865719,"15,21,39,41"
"ကုလားစု",96.197144,16.835063,"1,3,7,24"
"ကုလားဈေး",96.171954,16.82238,"14,26,27"
"ကုလားဘုရား",96.128758,16.905906,"11,14,26,27,35,37,41,60"
"ကေတုမာလာကွေ့",96.172008,16.856031,"6,10,30,32"
"ကော်စက်",96.188326,16.814,"9,18,24,25,59"
"ကံမြင့်",96.410859,16.749975,"34"
"က္ကန္ဒာ",96.166135,16.90722,"16,18,19,32,36,42"
"ကျန်းမာရေး",96.178583,16.891657,"2,3,6,8,10,15,27,28,34"
"ကျားဘုရား",96.256536,16.757727,"31,32,33,34"
"ကျိုက္ကစံဘုရား",96.189955,16.838123,"1,14,26,27,60"
"ကျိုက္ကလို့",96.12702,16.952053,"35,37,41,44"
"ကျိုက္ကလဲ့/ဆပ်ပလိုင်း",96.127986,16.944294,"35,37,41,44"
"ကျိုက်ဝိုင်း",96.128717,16.86674,"15,16,19,61"
"ကျိုက်အင်း",96.289304,16.718762,"33"
"ကျုံးကြီးဂိတ်",96.136989,16.777517,"56,57,58"
"ကျောက်ကုန်း",96.169935,16.831469,"14,26,27,60"
"ကျောက်တန်း",96.327345,16.633314,"33"
"ကျောက်တိုင်",96.195665,16.804582,"5,9,10,12,28,29,32,33,36,61"
"ကျောက်မြောင်းဈေး",96.175646,16.804151,"9,25"
"ကျောက်ရေတွင်း",96.154359,16.887233,"10,15,16,18,19,28,32,36,42"
"ကျောက်လမ်း",96.234031,16.883578,"1,17,19,46"
"ကျောင်းကွေ့",96.174892,16.889707,"2,8,10,18,27,28,30,32,34,35,37,42,61"
"ကျောင်းကွေ့/ထူပါရုံ",96.205941,16.803945,"5,9,32,33"
"ကျောင်းဂိတ်",96.097215,16.917978,"21,39,40"
"ကျောင်းရှေ့",96.25229,16.911326,"1,3,4,6,7,14,17,18,20,22,26,27,31,35,36,37,39,41,43,44,46,59"
"ကျောင်းရှေ့/ကုန်းဆင်း",96.126583,16.825525,"14,30,38,41"
"ကျောင်းရှေ့/ဓမ္မာရုံ",96.132192,16.826485,"14,38"
"ကျောင်းလမ်း",96.193045,16.871474,"12,14,15,16,17,18,19,20,22,25,26,29,30,32,38,39,42,44,54,59"
"ကျောင်းလမ်းထိပ်",96.211392,16.889974,"24"
"ကျောင်းလေးရှေ့",96.18296,16.893916,"2,10,27,28"
"ကျော်စွာ",96.076959,16.969006,"40,42"
"ကျေးတမာ",96.187715,16.850908,"14,26,27"
"ကျွန်းကလေး",96.19267,17.083697,"44"
"ကျွန်းချောင်း",95.961578,17.214592,"55"
"ကျွဲလမ်း",95.980933,17.179335,"55"
"ကြက်ခြံပေါက်",95.99458,17.168101,"55"
"ကြက်ဖြူကန်",96.10023,17.086486,"55"
"ကြည်မြင်တိုင်ညဈေး",96.125928,16.809789,"11,22"
"ကြည့်မြင်တိုင်ညဈေး",96.121878,16.809214,"14,19,20,23,30,40,41"
"ကြည့်မြင်တိုင်ဘူတာ",96.125733,16.806392,"11,22"
"ကြယ်ငါးပွင့်",96.210018,16.791476,"4,10,31,34"
"ကြာကန်",96.231433,16.84375,"2,7,45"
"ကြာနီကန်",96.301725,16.740729,"34"
"ကြားမှတ်တိုင်",96.190642,16.897899,"2,10,12,14,27,28,29"
"ကြိုဆိုပါ၏",96.50995,16.759221,"34"
