"ဖောင်ကြီး","45"
"ဖောင်ကြီးလမ်း","45"
"ဗညားဒလလမ်း","3,20,27,33"
"ဗဟန်း(၃)လမ်း","28,36"
"ဗဟိုလမ်း","11,11,22,22"
"ဗားကရာ","22"
"ဗားကရာလမ်း","11,20,59"
"ဗိုလ်ချုပ်နေဝင်းလမ်း","32"
"ဗိုလ်ချုပ်အောင်ဆန်းလမ်း","5,56"
"ဗိုလ်တစ်ထောင်","57"
"ဗိုလ်တစ်ထောင်ဈေးလမ်း","31,31"
"ဗိုလ်တစ်ထောင်ဘုရား","58"
"ဗိုလ်တစ်ထောင်ဘုရား(ကမ်းနားလမ်း)","58"
"ဗိုလ်တစ်ထောင်ဘုရားလမ်း","5,24,26,31,34,56,58"
"ဗိုလ်မှုးဗထူးလမ်း","10,27,28"
"ဗိုလ်မှူးဗထူးလမ်း","2"
"ဗိုလ်အောင်ကျော်လမ်း","53,54,54"
"ဘီအိုစီ","15,39"
"ဘီအိုစီအဝိုင်း","20,23"
"ဘုန်းကြီးကျောင်းကွေ့","7"
"ဘုန်းကြီးလမ်း","18,32,35,37,39,42"
"ဘုရင့်နောင်","40"
"ဘုရင့်နောင်တံတား","16,20,23"
"ဘုရင့်နောင်လမ်း","14,15,19,20,23,38,42"
"ဘုရင့်နောင်လမ်းဆုံ","15,19"
"ဘုရင့်နောင်လမ်းမကြီး","40"
"ဘုရားငုတ်တို","47,48,49,50"
"ဘုရားလမ်း","57"
"ဘုရားလမ်းဆုံ","32"
"ဘေလီ","6,12,14,18,26,27,29,30,32"
"ဘေလီ","38"
"မင်းကုန်း","45"
"မင်းကြီးလမ်း","21"
"မင်းဓမ္မလမ်း","6"
"မင်းနန္ဒာလမ်း","4,5,8,9,10,33"
"မင်းရဲကျော်စွာလမ်း","25,26,27,27,29,30"
"မင်္ဂလာဈေး","3,7,8,25,27,33"
"မဝတလမ်းဆုံ","12"
"မဟာဗန္ဓုလတံတား","4,31,34"
"မဟာဗန္ဓုလတံတားအောက်","24,26"
"မဟာဗန္ဓုလလမ်း","7,21,34,35,37,39,42,57"
"မိုးကောင်းလမ်း","12,14,26,27,38"
"မီးခွက်ဈေး","22,52"
"မောင်းမကန်လမ်း","2,3,6"
"မော်တင်","21,35,37,39"
"မြင်တော်သာလမ်း","8,34"
"မြင်သာ(ကညန)","1"
"မြန်မာ့ဂုဏ်ရည်လမ်း","20"
"မြရာကုန်းလမ်း","20"
"မြေနီကုန်း","11,20,21,35,37,39"
"မြောက်ဥက္ကလာပဆေးရုံ","2"
"မြောက်ဥက္ကလာပအဝိုင်း","2,10,15,16,19,28,32,36"
"မြောင်းတကာ","55"
"မှောဘီနည်းပညာတက္ကသိုလ်","55"
"မှော်ဘီ","55"
"မှော်ဘီဈေးရှေ့","43"
"ယမုံနာလမ်း","8,31"
"ယုဇန(ခိုင်ရွှေဝါလမ်း)","2"
"ယုဇနပလာဇာ","3,9,20,25,27,33"
